,palavra,rec,pont
8499,tábua,10,0.0749345169477152
8141,mouro,3,0.07195587382658897
11764,tamandaré,4,0.06549027356970706
2,josé,3,0.060090809525396104
3,alencar,3,0.060090809525396104
7362,acreditas,3,0.0577855355026827
9005,podereis,3,0.0572003655229087
9426,desligar,3,0.05470737138389573
7884,estúpido,3,0.05354062649656146
7903,visionário,3,0.05354062649656146
6276,vaidade,3,0.053162692662468085
9832,montante,7,0.05008461976596405
1971,forquilha,3,0.04827808628536097
8142,alcáçar,2,0.047970582551059314
5206,botija,6,0.04690842855785671
10173,marchamos,2,0.04038274241563706
10150,salvar-vos,2,0.04038274241563706
53,romance,2,0.0400605396835974
36,bibvirt@futuro.usp.br,2,0.0400605396835974
7,paulo,2,0.0400605396835974
30,informações,2,0.0400605396835974
130,edição,2,0.0400605396835974
7033,desças,2,0.03953481081635859
11787,raízes,2,0.03943131654720582
7180,sofras,2,0.0389218680130042
7969,entrará,2,0.03882155392018717
8183,centenas,2,0.03882155392018717
3825,conserves,2,0.03862246902828878
5041,segui,2,0.038230362743737624
9015,alimárias,2,0.038133577015272466
8987,adivinhais,2,0.038133577015272466
9675,giro,2,0.03794146831494363
9680,camarada,2,0.03794146831494363
7124,deitará,2,0.03784613799254428
7116,sentes,2,0.03784613799254428
8487,matando-a,2,0.037009245506222664
1232,viaja,2,0.036560104177263644
9429,desleal,2,0.036471580922597155
9574,morcego,2,0.03629581426754849
5518,parente,5,0.03626884941294955
8670,conheceis,2,0.03620856471402073
7670,fôsseis,2,0.03569375099770764
7640,confessar-vos,2,0.03569375099770764
6268,traduziu,2,0.03544179510831205
6882,pisada,2,0.035358598406179866
6872,tagarelar,2,0.035358598406179866
6867,madre,2,0.035358598406179866
5988,estrangeiro,2,0.03527579138415134
4595,ouça,2,0.03527579138415134
3153,guardai-a,2,0.03486750676164959
2243,rosado,2,0.03486750676164959
1284,fanqueiro,2,0.03478698134187673
3304,penares,2,0.03478698134187673
2942,ave-maria,2,0.034706827006987614
9518,repelir,2,0.03462704119777615
5299,poderosos,2,0.03462704119777615
2827,saudação,2,0.03431153284973262
10428,generosa,2,0.034155924991003686
6342,queima,2,0.034155924991003686
6324,soprou,2,0.034155924991003686
10454,salvai-o,2,0.034155924991003686
3039,curtos,2,0.03407864914260775
9597,viga,2,0.03407864914260775
8974,exclamaram,4,0.03404554899838143
11673,superfície,2,0.03400172216937387
3946,sofresse,2,0.03400172216937387
10286,entoando,2,0.03400172216937387
11099,torcer,2,0.03392514171403744
8433,malfadado,2,0.033848905440522756
2574,semelhança,2,0.03377301103370543
2623,temem,2,0.03377301103370543
3256,convivas,2,0.033697456199178126
11398,perfil,2,0.03362223866301925
8615,instruções,2,0.03354735617156486
6988,adejavam,2,0.0333985874080546
6990,caldo,2,0.0333985874080546
10571,festim,2,0.03332469672794828
10559,envenenar,2,0.03332469672794828
5393,borrasca,2,0.033251132276010203
5891,alumiou,2,0.03310497345281895
11182,fosses,2,0.03310497345281895
6137,riquezas,2,0.032960093919108584
4894,guia,2,0.032960093919108584
10332,matador,2,0.03288812864854285
5758,iara,2,0.03288812864854285
11333,tépida,2,0.032816476952140794
11052,condensavam,2,0.032816476952140794
11773,baixou,2,0.03274513678485353
7517,pasmado,2,0.03246285112291514
6650,combinava,2,0.03246285112291514
11476,fogueiras,2,0.032393038539855104
11489,palácio,2,0.032393038539855104
11504,mitologia,2,0.032393038539855104
6206,colônia,2,0.032323525581615074
6207,fundada,2,0.032323525581615074
9911,soprava,2,0.03225431032341033
1979,gancho,2,0.03218539085690732
8523,precipitá-lo,2,0.03211676529004824
9155,executores,2,0.03204843174687792
8949,fachos,2,0.031980388367372874
11549,côncava,2,0.03191263330727251
988,lucros,2,0.03191263330727251
980,rigorosa,2,0.03191263330727251
6467,atirava,2,0.031845164737912525
4190,partiam,2,0.03157811933130529
4103,vestuário,2,0.03157811933130529
2742,fidalga,2,0.03151205632015193
4938,estrangulado,2,0.03151205632015193
6873,santos,4,0.03137950165882322
352,quadradas,2,0.030993339343688527
5243,ouvi,4,0.030860808261747835
719,contrabando,2,0.030740332491903315
747,sesmaria,2,0.030740332491903315
11006,círio,2,0.030677724890086806
11017,cesta,2,0.030677724890086806
11018,resinas,2,0.030677724890086806
2618,sra,4,0.030537987403854983
6008,condições,4,0.030315725346838525
5225,ricos,4,0.030239335433304364
2511,trazem,4,0.03001235998579306
4943,agonizava,4,0.02914878212070761
5976,bebe,4,0.029126430837437607
8831,dorme,4,0.028983259330848964
5444,aines,4,0.028678718829975608
5443,fernão,4,0.028678718829975608
7401,deixo,3,0.02866971218951217
6947,fosso,4,0.02865652417228618
7839,castelã,3,0.02859458918913242
419,estacada,6,0.028544304778180884
3434,prisioneiro,39,0.028532349716423034
5877,ararê,22,0.028421527835205847
4793,formosa,3,0.028307912911821193
1336,dei,4,0.02803797785069015
3865,banhar-se,4,0.027257912429154228
8765,amante,12,0.026998412916952597
285,agrestes,4,0.0269479625722645
3300,misser,8,0.026300842355132397
4811,cãozinho,6,0.026271879118501817
5238,robério,11,0.02605434254045181
8390,vigias,3,0.026007589564513815
41,ajudar,3,0.02539450552176803
1763,onça,23,0.025178634909108186
7115,dar-te,3,0.02508220776943762
3383,atacarão,3,0.02505241698474918
5364,tempestade,8,0.02439683189456272
10,livro,3,0.024333788615202197
88,manuscrito,3,0.024333788615202197
5547,quantos,5,0.024270537489423195
10986,embeber-se,3,0.02415118493762322
7684,culpada,3,0.024149109808405952
9006,protegido,3,0.024042477950103697
5904,cinto,3,0.024032194208720506
8135,pesaroso,1,0.023985291275529657
8133,guardo,1,0.023985291275529657
8132,chamará,1,0.023985291275529657
8143,montado,1,0.023985291275529657
8134,machucando,1,0.023985291275529657
8138,acompanhamento,1,0.023985291275529657
8149,paços,1,0.023985291275529657
8131,tiras,1,0.023985291275529657
8130,cortas,1,0.023985291275529657
8129,deitam,1,0.023985291275529657
8128,quebram,1,0.023985291275529657
8127,voa,1,0.023985291275529657
8125,bordará,1,0.023985291275529657
8124,historias,1,0.023985291275529657
8144,corcel,1,0.023985291275529657
8145,pajem,1,0.023985291275529657
8150,d’ouro,1,0.023985291275529657
8146,anadel,1,0.023985291275529657
8140,infanção,1,0.023985291275529657
8126,crescer,1,0.023985291275529657
8136,arrebatadora,1,0.023985291275529657
7628,fez-me,3,0.02388348268164837
5169,cara,3,0.023879012934617642
5588,desgraçada,3,0.023849437230625836
7457,juiz,3,0.023732682707444292
775,portuguesa,3,0.023729638869287785
7904,crente,3,0.023703128487315518
7235,sério,3,0.02369284187171717
9028,faremos,3,0.023677738824749425
5920,gavião,3,0.023653126014065978
7847,carta,5,0.023648669370748398
7056,cauã,3,0.023620632784140415
5911,passarinhos,3,0.023563777430474782
1137,troço,3,0.023394878546996137
2329,compreendo,3,0.023373952238250298
7377,mandas,3,0.023245603591645098
1140,costeava,3,0.02322462999339831
8480,desconhecido,3,0.02319355187216611
8295,partis,3,0.023167478534903755
6374,ingratidão,3,0.02313665948048781
9109,mereceis,3,0.023135761776464113
9557,cozinha,3,0.023126709145752305
9513,conservação,3,0.02303848017222987
1171,caminheiros,3,0.023014470101248713
9372,resignada,3,0.02290378467892032
4714,jasmim,3,0.022887764768739115
3139,conversaram,3,0.022819706340286093
1170,tropa,3,0.02281596086410101
5916,partimos,3,0.022794962711968347
8020,desengano,3,0.02277924896448035
1209,chegaremos,3,0.022771703915532227
1586,espião,3,0.022739933643504975
5246,filipe,5,0.022704056788131224
9087,cães,3,0.022655699046306946
9080,culpados,3,0.022611063426502973
9504,brecha,5,0.022605260912515208
5245,oferecer,3,0.022563296263641643
9640,tomava,3,0.022559211709460986
5415,igreja,3,0.022540911672335
3747,redoma,3,0.02242738500467539
6360,ensinar,3,0.022421422500992237
3632,venenosos,3,0.022387896892568728
6452,réptil,3,0.022379784210178083
4856,oco,3,0.022370596985186165
5250,madri,3,0.022354994514496084
5240,espanhas,3,0.022354994514496084
4083,jasmineiros,3,0.02230240923284872
6841,executor,3,0.02226540732929217
8502,prancha,5,0.02225462670361346
6926,tenção,3,0.022193763023858927
10020,punhos,3,0.022173606079618293
3258,canjirões,3,0.02215360255864841
8218,descontentamento,3,0.022141136198829056
10127,arrependimento,3,0.022141136198829056
8240,desfecho,3,0.022133937172285886
5447,nunes,26,0.022119964987797655
10693,fogueira,5,0.022092929635827128
5355,esplendor,3,0.02208631148645448
6323,guaranis,3,0.021984170874045125
3936,coco,3,0.021944193660688924
11236,remo,5,0.021858768728514843
1111,mimosa,3,0.021852620294283413
9927,apoiando-se,3,0.021836045640160933
4814,espingarda,3,0.021830539969360328
5977,taça,7,0.02181052967593293
9968,monstro,3,0.021724908050424
8942,corredor,3,0.021710407098967675
9135,tremor,3,0.021691802891057245
8012,xácara,4,0.021686586902221847
6742,desce,3,0.021683171590478768
3613,respaldo,3,0.02165523335487618
10645,vulcão,3,0.021643601282441877
7868,assassinos,3,0.02163515992517504
2616,pensa,3,0.02157787901706283
10257,sobe,3,0.02157041771973441
5339,serás,4,0.021557320437510668
1667,perna,3,0.021532235266893265
11212,embate,3,0.021497812767286587
3478,porem,3,0.021470588640500415
5254,palma,3,0.021450005290404108
3996,falas,3,0.021394626025193306
5419,convento,3,0.02138115386072991
5418,carmo,3,0.02138115386072991
5405,missionário,3,0.02138115386072991
1899,carniceiros,3,0.02138115386072991
11618,inspirado,3,0.02136025782758481
11477,feitas,3,0.02134619577503209
7795,apertavam,3,0.021344383857896446
357,metade,5,0.021297811034464955
3205,poeta,3,0.02123198230010955
2604,trato,3,0.021189228458398154
8108,abrindo-se,3,0.021183276994662
9930,clava,7,0.02117034964910767
10339,tacape,3,0.021164866942781146
5784,palmeira,19,0.021079541605243803
2141,acácia,3,0.02106887198897216
10396,golpes,3,0.02097001994272999
1955,patas,5,0.020956353489345075
8314,querida,3,0.020932321095883548
4946,deixaria,3,0.020908242123099937
3813,nuvem,13,0.020840992135736976
8457,sondavam,1,0.02080492116164727
8459,ronda,1,0.02080492116164727
8449,lusco-fusco,1,0.02080492116164727
8451,verme,1,0.02080492116164727
8452,escassos,1,0.02080492116164727
8478,dei-vos,1,0.02080492116164727
8477,sobram,1,0.02080492116164727
8454,sussurravam,1,0.02080492116164727
8475,chegara,1,0.02080492116164727
8472,dirigiam,1,0.02080492116164727
8471,esgueirando-se,1,0.02080492116164727
8455,reclinados,1,0.02080492116164727
8470,luzir,1,0.02080492116164727
8469,trocadas,1,0.02080492116164727
8468,esperamos,1,0.02080492116164727
